GO_ID	pValues	interestCount	backgroundCount
GO:0030154	0.002695804270587414	33	287
GO:1903426	0.12377138412688521	2	9
GO:2000377	1.0	0	16
GO:0007494	0.3934631811564106	1	7
GO:0048565	0.7427076829224035	1	19
GO:0034198	0.43969079278756273	4	49
GO:0009267	0.9692974606025254	2	75
GO:0031669	0.26495002329994455	4	38
GO:0031667	0.8925951065836721	3	74
GO:0042594	0.43741567743876697	3	35
GO:0033554	0.45589001451650385	3	36
GO:1990928	1.0	0	4
GO:0019887	0.32928177815957166	2	17
GO:0019207	1.0	0	3
GO:0072531	0.059115952531713624	2	6
GO:0055085	0.9999998586772625	13	568
GO:0060322	0.17290349611200884	2	11
GO:0033138	0.7604587169463339	1	20
GO:0038127	0.5104787423462751	1	10
GO:0097450	0.47422283438659296	1	9
GO:0097449	0.6321806093576154	1	14
GO:0097386	0.6321806093576154	1	14
GO:0120025	1.0	0	26
GO:0042995	0.6575506730915142	1	15
GO:0043149	0.3032300005892878	2	16
GO:0051017	1.0	0	37
GO:0061572	1.0	0	4
GO:0007015	0.9910921263046967	4	144
GO:0097435	1.0	0	22
GO:0031032	1.0	0	21
GO:0030036	0.9999966344670744	2	215
GO:0030029	0.3003092864980996	1	5
GO:0051798	0.3934631811564106	1	7
GO:0042634	1.0	0	5
GO:2000026	0.07980569487613094	3	15
GO:0090102	0.018297754771038427	5	23
GO:0018026	0.3934631811564106	1	7
GO:0006479	0.34854795329137683	1	6
GO:0032259	1.0	0	11
GO:0015385	0.6321806093576154	1	14
GO:0015297	0.967683983616045	1	48
GO:0046873	0.7427076829224035	1	19
GO:0015081	1.0	0	8
GO:0060068	0.24850146150336413	1	4
GO:0030540	1.0	0	5
GO:0048806	1.0	0	9
GO:0048513	0.11257434160254247	10	94
GO:0003006	1.0	0	7
GO:0030166	0.7604587169463339	1	20
GO:0006029	0.34854795329137683	1	6
GO:0009100	0.47422283438659296	1	9
GO:1901135	1.0	0	23
GO:0009101	0.9934406895818808	2	100
GO:1901137	1.0	0	7
GO:0001701	0.11791221650266069	5	38
GO:0043009	0.43528378435773646	1	8
GO:0009792	0.037873831358077426	4	19
GO:0051964	0.34854795329137683	1	6
GO:0050807	0.8741396251113995	1	29
GO:0051963	0.23419796958366368	4	36
GO:1901888	1.0	0	7
GO:0051960	1.0	0	3
GO:0051241	0.006203727013748237	5	18
GO:0000439	0.17290349611200884	2	11
GO:0090575	0.9913598166213851	5	167
GO:0005667	0.9377135940135203	12	253
GO:0035091	0.9589718103463786	4	114
GO:0043168	1.0	0	6
GO:0036094	0.8984462670669936	1	32
GO:0055001	0.07980569487613094	3	15
GO:0048468	0.015055928278087952	6	30
GO:0016042	0.8063019602783947	2	43
GO:0006629	0.9042965010435629	9	187
GO:0045494	0.9338902389268295	1	38
GO:0097157	0.5756674533753028	1	12
GO:0036002	0.1729089256242666	3	21
GO:0003723	0.9999768797085968	62	1403
GO:0003676	0.8034638439845898	39	637
GO:0036038	0.6811720512583292	1	16
GO:0007204	0.9849674454162526	4	134
GO:0080154	0.3003092864980996	1	5
GO:0045648	0.34221250621287286	3	30
GO:0045646	1.0	0	5
GO:0045637	1.0	0	4
GO:1903706	0.3032300005892878	2	16
GO:0060284	1.0	0	3
GO:0045639	0.19286060605380606	1	3
GO:0045597	6.936745282893479e-05	16	78
GO:2000304	0.3003092864980996	1	5
GO:0046890	1.0	0	7
GO:0019216	0.10818425337988136	5	37
GO:0046889	0.7604587169463339	1	20
GO:0045834	1.0	0	5
GO:2000303	1.0	0	3
GO:0001654	0.40815189799460666	4	47
GO:0007423	1.0	0	27
GO:0002376	0.05267753447145867	8	60
GO:0032924	0.0448404525960376	4	20
GO:0038024	0.1280365707326607	5	39
GO:0007267	0.6802242371847831	14	223
GO:0007154	0.8860743339651757	4	92
GO:0023052	0.6922395008635877	3	51
GO:0010716	0.3934631811564106	1	7
GO:0010715	1.0	0	4
GO:1903053	0.009264368608062802	3	7
GO:0071638	0.34854795329137683	1	6
GO:0032682	1.0	0	6
GO:0032642	0.19286060605380606	1	3
GO:0001817	2.7986558675259164e-07	17	59
GO:0001818	0.7200434112719593	2	36
GO:0010629	0.021089306690138098	24	224
GO:0034340	0.5104787423462751	1	10
GO:0034097	0.20856510467425177	5	46
GO:1901652	1.0	0	10
GO:0007417	0.32725354795856537	11	135
GO:0005819	0.9872481868735149	9	241
GO:0043232	0.3934631811564106	1	7
GO:0043229	1.0	0	3
GO:0043226	0.6740949721469711	2	33
GO:0002943	0.025938039705131852	2	4
GO:0071603	0.04127016152442236	2	5
GO:0042098	0.19849321650809154	2	12
GO:0042110	0.698234195717821	4	68
GO:0046649	1.0	0	4
GO:0045321	0.17290349611200884	2	11
GO:0001775	1.0	0	9
GO:0046651	1.0	0	3
GO:0008283	0.3930212387803799	7	87
